pid,tid,searchSeq,rank,url
1,2,0,-1,
1,2,1,0,https://stackoverflow.com/questions/1063007/how-to-sort-an-array-of-integers-correctly
1,4,0,4,https://stackoverflow.com/questions/19664926/proper-js-currency-format-with-commas-and-decimals
1,3,0,0,https://stackoverflow.com/questions/12462318/find-a-value-in-an-array-of-objects-in-javascript
1,1,0,1,https://stackoverflow.com/questions/42523881/how-to-clone-a-javascript-array-of-objects
1,5,0,0,https://stackoverflow.com/questions/29651815/format-date-and-subtract-days-using-moment-js
1,6,0,1,https://stackoverflow.com/questions/55853857/how-to-serve-static-files-to-different-routes-in-express
1,6,1,0,https://stackoverflow.com/questions/26349497/node-express-with-static-html-how-to-route-all-requests-to-index-html
2,2,0,0,https://stackoverflow.com/questions/979256/sorting-an-array-of-objects-by-property-values
2,4,0,4,https://stackoverflow.com/questions/19664926/proper-js-currency-format-with-commas-and-decimals
2,3,0,0,https://stackoverflow.com/questions/12462318/find-a-value-in-an-array-of-objects-in-javascript
2,1,0,0,https://stackoverflow.com/questions/3978492/fastest-way-to-duplicate-an-array-in-javascript-slice-vs-for-loop
2,5,0,1,https://stackoverflow.com/questions/29651815/format-date-and-subtract-days-using-moment-js
2,6,0,1,https://stackoverflow.com/questions/55853857/how-to-serve-static-files-to-different-routes-in-express
2,6,1,-1,
2,6,2,1,https://stackoverflow.com/questions/42977068/express-serving-static-files-and-routing
3,2,0,0,https://stackoverflow.com/questions/979256/sorting-an-array-of-objects-by-property-values
3,4,0,0,https://stackoverflow.com/questions/149055/how-to-format-numbers-as-currency-strings
3,1,0,0,https://stackoverflow.com/questions/3978492/fastest-way-to-duplicate-an-array-in-javascript-slice-vs-for-loop
3,5,0,0,https://stackoverflow.com/questions/40459932/how-to-subtract-2-dates-on-momentjs
3,6,0,-1,
3,6,1,0,https://stackoverflow.com/questions/68489291/how-to-set-express-static-path-when-app-is-in-dependency-module
4,2,0,0,https://stackoverflow.com/questions/979256/sorting-an-array-of-objects-by-property-values
4,4,0,0,https://stackoverflow.com/questions/149055/how-to-format-numbers-as-currency-strings
4,3,0,0,https://stackoverflow.com/questions/12462318/find-a-value-in-an-array-of-objects-in-javascript
4,1,0,1,https://stackoverflow.com/questions/42523881/how-to-clone-a-javascript-array-of-objects
4,5,0,0,https://stackoverflow.com/questions/40459932/how-to-subtract-2-dates-on-momentjs
4,5,1,1,https://stackoverflow.com/questions/68756983/how-add-and-subtract-days-using-moment-js-for-the-given-timestamp-value
4,5,2,-1,
4,6,0,0,https://stackoverflow.com/questions/55853857/how-to-serve-static-files-to-different-routes-in-express
4,6,1,2,https://stackoverflow.com/questions/66258861/creating-routing-for-a-static-site-using-express
4,6,2,1,https://stackoverflow.com/questions/55853857/how-to-serve-static-files-to-different-routes-in-express
4,6,3,0,https://stackoverflow.com/questions/55285668/express-static-doesnt-route-the-static-files
4,6,4,-1,
5,2,0,0,https://stackoverflow.com/questions/979256/sorting-an-array-of-objects-by-property-values
5,4,0,1,https://stackoverflow.com/questions/4022171/how-do-i-print-currency-format-in-javascript
5,3,0,0,https://stackoverflow.com/questions/12462318/find-a-value-in-an-array-of-objects-in-javascript
5,1,0,0,https://stackoverflow.com/questions/3978492/fastest-way-to-duplicate-an-array-in-javascript-slice-vs-for-loop
5,5,0,1,https://stackoverflow.com/questions/40459932/how-to-subtract-2-dates-on-momentjs
5,5,1,-1,
5,5,2,0,https://stackoverflow.com/questions/41505492/how-to-subtract-one-month-using-moment-js
5,6,0,2,https://stackoverflow.com/questions/65115458/how-to-serve-static-files-in-expressjs-on-some-paths-and-not-others
6,2,0,0,https://stackoverflow.com/questions/979256/sorting-an-array-of-objects-by-property-values
6,4,0,0,https://stackoverflow.com/questions/149055/how-to-format-numbers-as-currency-strings
6,3,0,0,https://stackoverflow.com/questions/12462318/find-a-value-in-an-array-of-objects-in-javascript
6,1,0,0,https://stackoverflow.com/questions/3978492/fastest-way-to-duplicate-an-array-in-javascript-slice-vs-for-loop
6,5,0,0,https://stackoverflow.com/questions/29651815/format-date-and-subtract-days-using-moment-js
6,6,0,0,https://stackoverflow.com/questions/36395563/static-routing-in-node-express
7,2,0,0,https://stackoverflow.com/questions/979256/sorting-an-array-of-objects-by-property-values
7,4,0,0,https://stackoverflow.com/questions/149055/how-to-format-numbers-as-currency-strings
