pid,tid,searchSeq,url,seq,answerCount,loc,words,title
1,2,0,https://stackoverflow.com/questions/979256/sorting-an-array-of-objects-by-property-values,0,25,669,30572,Sorting an array of objects by property values - Stack Overflow
1,2,0,https://stackoverflow.com/questions/56809727/sorting-an-array-of-objects-on-both-ascending-and-descending-order-on-same-click,1,1,8,936,Sorting an array of objects on both ascending and descending ...
1,2,0,https://stackoverflow.com/questions/54623130/javascript-sort-an-array-of-objects-by-a-numeric-property-in-each-object,2,4,24,4647,JavaScript: Sort an array of objects by a numeric property in ...
1,2,0,https://stackoverflow.com/questions/31553155/sort-by-object-key-in-descending-order-on-javascript-underscore,3,3,44,4716,Sort by object key in descending order on Javascript/underscore
1,2,0,https://stackoverflow.com/questions/56996782/javascript-sorting-objects-not-arrays-in-descending,4,2,16,2585,Javascript: Sorting Objects (not arrays) in descending
1,2,0,https://stackoverflow.com/questions/1129216/sort-array-of-objects-by-string-property-value,5,29,727,44349,Sort array of objects by string property value - Stack Overflow
1,2,0,https://stackoverflow.com/questions/49365109/sort-array-of-objects-with-letters-and-numbers-in-descending-order,6,3,47,3960,sort array of objects with letters and numbers in descending ...
1,2,0,https://stackoverflow.com/questions/72084911/how-do-i-sort-array-of-objects-in-descending-order-based-on-alphanumeric-value-i,7,1,47,1568,How do I sort array of objects in descending order based on ...
1,2,0,https://stackoverflow.com/questions/65687818/js-sort-array-of-objets-by-specific-string-property-not-ascending-or-descending,8,5,100,4396,JS sort array of objets by specific string property (not ...
1,2,0,https://stackoverflow.com/questions/12900058/how-can-i-sort-a-javascript-array-of-objects-numerically-and-then-alphabetically,9,4,59,3977,How can I sort a javascript array of objects numerically and ...
1,2,1,https://stackoverflow.com/questions/1063007/how-to-sort-an-array-of-integers-correctly,0,25,310,28959,How to sort an array of integers correctly - Stack Overflow
1,2,1,https://stackoverflow.com/questions/72481509/javascript-sort-an-array-of-numbers-from-highest-to-lowest-but-keep-original-in,1,1,18,824,"Javascript, Sort an array of numbers from highest to lowest but ..."
1,2,1,https://stackoverflow.com/questions/7000851/how-to-sort-numbers-correctly-with-array-sort,2,5,36,7208,How to sort numbers correctly with Array.sort()? - Stack Overflow
1,2,1,https://stackoverflow.com/questions/65836611/javascript-sort-an-array-by-biggest-and-lowest-number,3,1,51,1157,Javascript sort an array by biggest and lowest number
1,2,1,https://stackoverflow.com/questions/979256/sorting-an-array-of-objects-by-property-values,4,25,669,30572,Sorting an array of objects by property values - Stack Overflow
