pid,tid,seq,timeBetween,context,keywords,query
1,2,0,,javascript,sort|array|of|objects|descending,javascript sort array of objects descending
1,2,1,,javascript,sort|by|highest|to|lowest,javascript sort by highest to lowest
1,4,0,,javascript,format|currency,javascript format currency
1,3,0,,javascript,find|item|in|array|by|value,javascript find item in array by value
1,1,0,,javascript,clone|array,javascript clone array
1,5,0,,moment|javascript,subtract|days|from|moment,subtract days from moment
1,6,0,,express|path|javascript,add|/static|route|to|express,javascript express path add /static route to
1,6,1,,express|path|javascript,add|/static|route|to|express|web|server,javascript express path add /static route to web server
2,2,0,,javascript,sort|array|of|objects|descending,javascript sort array of objects descending
2,4,0,,javascript,format|currency,javascript format currency
2,3,0,,javascript,find|item|in|array|by|value,javascript find item in array by value
2,1,0,,javascript,clone|array,javascript clone array
2,5,0,,moment|javascript,startDate|so|that|it|subtracts|the|specified|number|of|days/months/years|from|the|endDate,javascript moment startDate so that it subtracts the specified number of days/months/years from endDate
2,6,0,,express|path|javascript,add|static|route,add static route
2,6,1,25157,express|path|static|javascript,add|static|route|using|path,add static route using path
3,2,0,,javascript,sort|array|of|objects|descending,javascript sort array of objects descending
3,4,0,,javascript,format|currency,javascript format currency
3,1,0,,javascript,clone|array,javascript clone array
3,5,0,,moment|javascript,subtract|dates,javascript moment subtract dates
3,6,0,,express|path|javascript,ad,ad
3,6,1,,express|path|javascript,add|static|to|express,add static to express
4,2,0,,javascript,sort|array|of|objects|descending,javascript sort array of objects descending
4,4,0,,javascript,format|currency,javascript format currency
4,3,0,,javascript,find|item|in|array|by|value,javascript find item in array by value
4,1,0,,javascript,clone|array,javascript clone array
4,5,0,,moment|javascript,ssubtract|date,javascript moment ssubtract date
4,5,1,,moment|javascript,subtract|date|given|interval|and|value,javascript moment subtract date given interval and value
4,5,2,249770,moment|javascript,(,javascript moment (
4,6,0,,javascript,add|/static|route|which|serves|files,add /static route which serves files
4,6,1,,javascript,add|/static|route|to|setup|javascript,add /static route to setup javascript
4,6,2,138605,express|path|javascript,static|route|javascript,static route javascript
5,2,0,,javascript,sort|array|of|objects|descending,javascript sort array of objects descending
5,4,0,,javascript,format|currency,javascript format currency
5,3,0,,javascript,find|item|in|array|by|value,javascript find item in array by value
5,1,0,,javascript,clone|array,javascript clone array
5,5,0,,moment|javascript,subtract|time|from|date,subtract time from date
