Q1,repo_url,Duration (in seconds),RecordedDate,participantID,Q22,Q21,Q19,Q20,Q10,SC0,Q11,Q12,Q14,Q15,Q16,Q17,Q9
"Consent Form

Surfacing Web Snippets in the IDE

 

**Please complete this study on your desktop computer.**



Principal Investigator

Reid Holmes, Associate Professor, The University of British Columbia, Department of Computer Science, rtholmes@cs.ubc.ca.



Co-Investigators

Thomas Fritz, Associate Professor, University of Zurich, Department of Informatics, fritz@ifi.uzh.ch.

Nick Bradley, Graduate Student, The University of British Columbia, Department of Computer Science, ncbrad@cs.ubc.ca.



Purpose

Performing web searches while programming interrupts developers by taking them away from their integrated development environments (IDEs). This study evaluates a novel tool to integrate web search into the IDE.

 

Study Procedure

If you choose to participate in this study you will complete a 5 minute training task, six short programming tasks, and an exit survey. These will all take place in your web browser and the total time will be less than 90 minutes.



Participation

Your participation in this study is voluntary, but you will be compensated if you successfully complete the mandatory tutorial, attempt all of the programming tasks, and provide appropriate feedback in the exit survey. If you are a worker on Mechanical Turk, you will also be required to demonstrate proficiency with JavaScript by completing three short prescreening questions.



You are free to withdraw from the study at any point by closing your browser or navigating away from the study website. If you do so before you have completed the study, we will only use data collected up to this point for basic aggregated statistics (e.g., to determine how many participants started and completed each task). If you would like to withdraw from the study and not have your data used at all, you can contact the principal investigator via email (rtholmes@cs.ubc.ca) and ask for your data to be destroyed. To allow us to identify your data, you must include your participant ID that is displayed during the study. You can have your data removed even if you have been compensated.



Data, Storage and Confidentiality

Your confidentiality will be respected. Your study results will be assigned a random participant identifier and stored and analyzed using only this identifier. No data which makes you personally identifiable will be collected during this study. As part of this study, we will record your program code (including unsuccessful solutions) and your interaction with the web search extension on GitHub. Note that because GitHub is hosted in the USA, any data stored there is subject to the USA Patriot Act which may limit the privacy of the data. All data will be removed from GitHub once the study is complete. It will be stored in encrypted format on UBC servers in Canada and made accessible only to members of the research team. We will include statistical summaries and select quotes in publications. Your anonymous usage data of the search extension may be shared publicly so that other researchers can verify and extend our findings. Once released, you will not be able to withdraw your data.



NOTE: During the study it may be possible for other participants to access your program code as the repositories are stored in a shared account. Upon completion of the study, access to the repository is revoked.



Conflicts of Interest

Neither the study's principal investigator nor any of the co-investigators have any conflicts of interest to declare.

 

Who can you contact if you have complaints or concerns about the study?

If you have questions about the study or the data we collect, please contact Nick Bradley (ncbrad@cs.ubc.ca) or the principal investigator.



If you have any concerns or complaints about your rights as a research participant and/or your experiences while participating in this study (H21-03310), contact the Research Participant Complaint Line in the UBC Office of Research Ethics at 604-822-8598 or if long distance e-mail RSIL@ors.ubc.ca or call toll free 1-877-822-8598.

 

Your unique participant ID is [Field-participantID] (this is not your completion code). Please include this ID If you need to contact us.

 

 By continuing, you are consenting to participate in this study. 



If you have a Mechanical Turk or Prolific ID, please enter it below.",repo_url,Duration (in seconds),Recorded Date,participantID,What is your gender? - Selected Choice,In what capacity do you work with source code? - Selected Choice,How many years have you worked in software development?,How many years have you been programming in JavaScript?,"Scout presented search results in the two formats shown.





Which format made it easier to locate the information you were searching for?",Score,What are the primary strengths and weaknesses of the two formats shown by Scout?,Do you have any further suggestions about how the formats could be improved?,For what types of searches do you think Scout's call signatures would be helpful and why?,What percentage of your searches do these represent?,For what types of searches do you think Scout's call signatures would not be helpful and why?,What percentage of your searches do these represent?,"How well did Scout's terms align with those you manually included in your searches? Are there additional terms you would include, or terms you would exclude?"
"{""ImportId"":""QID3_TEXT""}","{""ImportId"":""repo_url""}","{""ImportId"":""duration""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""participantID""}","{""ImportId"":""QID29""}","{""ImportId"":""QID35""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""SC_03r5aWYmdJ2hPxk""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID51_TEXT""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID50_TEXT""}","{""ImportId"":""QID44_TEXT""}"
A2ALWT2BUSXD83,https://github.com/prentic/31472_2,3928,2022-09-27 10:15:36,31472,man,I am a professional developer and my most recent job title is,5,3,A was easier than B,32,"A gave you an example of what solution the result would provide, although was a little more cluttered. B was standard.",Try to make A less cluttered.,"Maybe for beginners who are not very familiar with types? ",3,Most searches.,97,I don't think the terms were specific enough to be particularly useful. I added more terms.
"",https://github.com/prentic/99741_1,5843,2022-10-18 12:04:49,99741,woman,"I am a student, and I work with source code as part of my studies",5,3,A was easier than B,34,"For A:
I got a preview of the answers, including what was deemed the correct answer and the most upvoted answer. This narrowed my focus to one code snip-it and a couple times, I didn't need to view the entire stack overflow page to answer the question.

Some helpful additions could be a summary of the question and including non-code (like their comments) in the solution. For areas I was less familiar with, I needed the additional context to determine what code I should write. For familiar functions, the preview was enough of a friendly reminder to write a solution.

For B:
It's in the IDE so I can look at both the answer and my code simultaneously (Scout does this too). For weaknesses, I had to click to view the question/answer and wasn't sure if it was useful until it had be viewed in full.

",,"Searches where I am more familiar with the methods but cannot remember how to use them. Also, issues where I don't need a deep understanding of the API, but just want to complete a relatively simple task. I think both of these align with when I would use stack overflow versus API documentation/blog posts. ",85,"In cases where I need a deep understanding of how the API works - maybe it is complicated, confusing or easily misused. In these cases, I would turn to blog posts or the API documentation.",15,"The terms aligned well. I can't think of any terms to include/exclude. "
"",https://github.com/prentic/96947_3,4432,2022-10-19 22:30:14,96947,man,I program as a hobby,0,10,A was easier than B,31,"A shows a code snippet right away, so it's easier to determine if the answer is applicable to whatever the task at hand is. And, it's good for refreshing your memory on what order variables should be in when calling the function.","It'd be nice if, in the example above, A would pick up on the usage of reduce() in the answer and have a line at the top showing what parameters the function accepts, rather than just based on its usage in that specific answer.","I think it'd be helpful for searches where you know what you want but you can't remember what it is specifically or how to do it. E.g. shift() vs. pop() or sort((a,b)=>a-b) vs. sort((a,b)=>b-a)",95,If you were looking for thorough explanation on the usage of a specific function.,5,"I added ""js"" once or twice out of habit because I didn't realize it adding those terms."
"",https://github.com/prentic/99907_4,2618,2022-10-25 17:28:53,99907,man,"I am a student, and I work with source code as part of my studies",1,1,A was easier than B,20,"A extracts the most amount of information, but it's not actually that helpful I think, because when I look at Stack Overflow I want to see the explanations too. Maybe include the top post's text as well as code?",,Syntax questions,75,,,"Didn't get any previews on my manual searches. "
"",https://github.com/prentic/32156_1,4039,2022-10-25 17:42:24,32156,woman,"I am a student, and I work with source code as part of my studies",2,1,A was easier than B,34,First one can immediately suggest which functions can be useful without needing to click in-between pages. I don't think B is better in any way.,It would be nice to include search results from more websites and official doc,"When we are looking for specific functions to use. This is especially helpful when we already know what some functions we find do but we just needed something to help us recall how to use them, and when similar functions exist in other programming languages we are more familiar with.",80,"When we are more lost on how to use a certain technology and not sure where to start. In this case a more general documentation would be more helpful. For example, I have never used Express and did not have a clue about how to set up new routes but it was hard to find a general overview of Express and functionalities.",20,pretty well
"",https://github.com/prentic/93100_1,2321,2022-10-25 17:57:39,93100,man,"I am a student, and I work with source code as part of my studies",1,0.3,Neither format was easier,29,"A) is more straight forward, but doesn't always show what I want
B) has more detail and usually I can get it in one/two SO posts, but less convenient than A.",,very basic built in functions / when just starting out with a new language,30,anything complex that involves interaciton specific apis/documentation,70,"would include static, etc. for last task - but i dont think its reasonable to expect scout to pick up on these things when it doesnt show up in code"
"",https://github.com/prentic/76613_4,3126,2022-11-04 17:34:27,76613,man,"I am a student, and I work with source code as part of my studies",3,2,A was easier than B,34,"B provides more context through the text surrounding the snippets, but at the same time it makes it harder to access the code that seems good enough to me 90% of the time.",Having both at once or being able to switch instantly would be ideal,Those where I just need to know an API call format,90,Where I need specific details about how the API works internally,10,"I think these align very well with what I would include. In fact, I did include the term ""moment"" anyway because I didn't realize it was included by Scout already."
"",https://github.com/prentic/69321_1,2613,2022-11-09 14:17:07,69321,man,"I am a student, and I work with source code as part of my studies",2,1,A was easier than B,28,"main weakness for both is the small screen space restricting content and resulting in more clicks. 
main strength for A is highlighting the useful part and saving time to scroll.",ability to horizontal scroll to see the whole question.,"api calls, different method usages.",60,"descriptive questions. for example, how to sort in javascript?",40,"i might remove javascript, as express kind of hints that it is javascript."
