pid,tid,onTask,inApp,inPage,toLoadFirst,toLoadLast,toOpen
12830,find,416869,380159,374119,1216,1216,1460
12830,clone,57425,21810,6836,1212,1212,13792
12830,recent,162347,11171,7332,3335,3335,2653
14987,sort,361356,77476,63391,1225,1225,12126
14987,serve,429357,338784,318575,3968,3429,3190
17135,sort,383060,649321,614862,1213,1213,32259
17380,sort,117474,185777,100508,1217,1217,7938
17380,serve,426443,536206,286742,4555,2811,14733
20014,find,91986,135677,130641,1211,1211,3859
20014,recent,245828,137428,126070,2944,3928,4810
20964,clone,28942,9889,7263,1290,1291,1536
20964,serve,87983,10615,9134,1849,1850,325
20998,currency,316591,408043,233776,1242,1243,26206
20998,find,188796,218175,114513,1215,1216,5247
20998,recent,443524,175713,160308,3939,5720,23485
20998,serve,446467,330449,0,3853,7994,2491
21752,sort,351289,234724,231784,1222,2631,23458
21752,clone,145452,98228,88646,1214,1214,5074
27362,sort,84460,24086,11606,1206,1206,11290
29016,currency,183378,110217,77554,1218,1319,7819
29016,serve,424834,317419,293630,3594,6691,9463
30065,recent,484757,109568,102388,3235,3235,6008
30065,serve,445436,365946,356599,6572,10311,9290
31472,find,255193,212837,204105,1209,1210,8732
31472,serve,135508,35516,26650,3334,6957,7964
32156,find,69390,69117,45895,1217,1217,18934
32919,currency,216013,127484,105163,1206,5030,581
32919,find,179162,192106,0,1205,1205,0
36615,find,109882,69431,0,6907,17322,14381
39681,currency,369239,307251,268556,1207,1212,10916
39681,find,272285,119013,4720,1207,1207,6665
36615,sort,192194,92723,69751,1247,1247,21817
42904,sort,166033,139477,114644,1231,1232,23735
42904,currency,234499,128867,79340,1218,1218,19599
42904,recent,462105,407058,0,2721,9616,28818
39681,serve,442926,437771,0,2504,15820,23348
46094,sort,227618,64177,1896,6314,18021,12462
46094,currency,421843,392141,1898,1216,1217,2096
46094,recent,464377,268949,2423,7011,7012,2399
46094,serve,290961,242441,0,2974,7197,7831
48128,sort,145146,421868,136770,1216,1216,14439
48128,clone,102123,6003,867,1255,1255,3970
48128,serve,123687,6021,485,4157,4158,4375
49394,recent,200281,18682,0,3784,10764,5062
49394,serve,588989,189230,167221,3424,2562,70630
55264,currency,365997,281328,211536,1216,1216,47788
55264,clone,141981,111358,0,4720,15864,19399
56883,currency,468541,204878,0,1335,1342,0
56883,find,396939,221516,207918,1355,1357,9360
56883,serve,475147,317108,310484,3806,8112,2335
57414,currency,222796,83390,74627,1222,3067,18774
57414,find,191672,221975,79599,1266,1283,10686
57414,recent,425408,250260,200897,2935,1312,54590
59191,clone,371066,394940,368153,4797,16014,15623
61514,sort,367670,271001,257993,1209,1209,4367
61514,currency,315925,380793,18385,5751,10589,683
61514,serve,448638,172420,121010,2713,2685,40151
61514,find,130954,108674,80373,4069,18451,24262
62905,currency,193807,94822,64109,1207,1207,29521
62905,recent,177185,28717,18508,2686,3349,17372
65727,sort,147171,74319,62167,1227,1227,11068
65727,clone,126749,85961,58059,1228,2972,22103
65727,serve,428474,270976,266597,4076,2895,680
69302,find,143556,67406,48714,1209,1209,17500
69302,recent,313300,339201,44329,3733,1218,26207
69321,find,83508,20389,15234,1210,1210,1653
69321,clone,98825,128099,56795,1211,2890,2892
69321,recent,286482,91353,0,3170,3170,0
69321,serve,172801,120802,0,4348,2961,21413
73430,sort,171916,139886,121232,1212,1212,5240
73430,currency,175764,145485,0,8766,14998,18394
73430,find,156080,91662,0,4681,16454,14898
73430,clone,52725,6043,928,1211,1211,3926
73430,recent,432831,343679,0,5861,12719,5182
73430,serve,426508,379904,333420,4261,2815,12364
76613,sort,316981,249993,45696,1267,1210,8643
76613,currency,183859,363520,0,1001,6118,50593
76613,clone,175651,259455,5638,1211,3000,2868
76613,recent,141230,35425,0,3149,5671,2946
76613,serve,337527,175660,0,2916,3238,167379
81897,sort,85263,68181,0,6101,17889,3741
81897,currency,124791,52073,38085,1217,1228,429
