pid,tid,searchSeq,timeFromSearch,kind,resultUrl
1,2,0,5444,showProj,https://stackoverflow.com/questions/979256/sorting-an-array-of-objects-by-property-values
1,2,0,5911,showProj,https://stackoverflow.com/questions/56809727/sorting-an-array-of-objects-on-both-ascending-and-descending-order-on-same-click
1,2,0,6889,showProj,https://stackoverflow.com/questions/54623130/javascript-sort-an-array-of-objects-by-a-numeric-property-in-each-object
1,2,0,7628,showProj,https://stackoverflow.com/questions/31553155/sort-by-object-key-in-descending-order-on-javascript-underscore
1,2,0,8263,showProj,https://stackoverflow.com/questions/56996782/javascript-sorting-objects-not-arrays-in-descending
1,2,0,13877,showProj,https://stackoverflow.com/questions/1129216/sort-array-of-objects-by-string-property-value
1,2,0,14627,showProj,https://stackoverflow.com/questions/49365109/sort-array-of-objects-with-letters-and-numbers-in-descending-order
1,2,0,14990,showProj,https://stackoverflow.com/questions/72084911/how-do-i-sort-array-of-objects-in-descending-order-based-on-alphanumeric-value-i
1,2,0,16151,showProj,https://stackoverflow.com/questions/65687818/js-sort-array-of-objets-by-specific-string-property-not-ascending-or-descending
1,2,0,17253,showProj,https://stackoverflow.com/questions/12900058/how-can-i-sort-a-javascript-array-of-objects-numerically-and-then-alphabetically
1,2,1,3718,openPage,https://stackoverflow.com/questions/1063007/how-to-sort-an-array-of-integers-correctly
1,2,1,6775,showProj,https://stackoverflow.com/questions/1063007/how-to-sort-an-array-of-integers-correctly
1,2,1,7234,showProj,https://stackoverflow.com/questions/72481509/javascript-sort-an-array-of-numbers-from-highest-to-lowest-but-keep-original-in
1,2,1,8402,showProj,https://stackoverflow.com/questions/7000851/how-to-sort-numbers-correctly-with-array-sort
1,2,1,8846,showProj,https://stackoverflow.com/questions/65836611/javascript-sort-an-array-by-biggest-and-lowest-number
1,2,1,13543,showProj,https://stackoverflow.com/questions/979256/sorting-an-array-of-objects-by-property-values
1,2,1,14141,showProj,https://stackoverflow.com/questions/50973867/sorting-objects-in-an-array-based-on-a-property-from-greatest-to-least
1,2,1,14520,showProj,https://stackoverflow.com/questions/60196025/sort-object-based-on-value-highest-to-lowest
1,2,1,15452,showProj,https://stackoverflow.com/questions/69816084/js-what-is-the-most-efficient-way-to-sort-an-array-of-objects-into-sections
1,2,1,16178,showProj,https://stackoverflow.com/questions/63767514/sort-an-array-from-highest-to-lowest
1,2,1,16360,showProj,https://stackoverflow.com/questions/69660322/sort-a-chart-from-lowest-to-highest-value-in-chart-js
1,2,1,22477,closePage,https://stackoverflow.com/questions/1063007/how-to-sort-an-array-of-integers-correctly
1,2,1,27673,openSig,https://stackoverflow.com/questions/1063007/how-to-sort-an-array-of-integers-correctly
1,2,1,104436,copyProj,https://stackoverflow.com/questions/1063007/how-to-sort-an-array-of-integers-correctly
1,2,1,164731,openPage,https://stackoverflow.com/questions/1063007/how-to-sort-an-array-of-integers-correctly
1,2,1,191436,closePage,https://stackoverflow.com/questions/1063007/how-to-sort-an-array-of-integers-correctly
1,4,0,5341,showProj,https://stackoverflow.com/questions/149055/how-to-format-numbers-as-currency-strings
1,4,0,5790,showProj,https://stackoverflow.com/questions/4022171/how-do-i-print-currency-format-in-javascript
1,4,0,6244,showProj,https://stackoverflow.com/questions/64297528/how-to-format-currency-in-javascript
1,4,0,6913,showProj,https://stackoverflow.com/questions/60689698/how-to-format-currency-and-time-in-javascript
1,4,0,7511,showProj,https://stackoverflow.com/questions/19664926/proper-js-currency-format-with-commas-and-decimals
1,4,0,7875,showProj,https://stackoverflow.com/questions/69668216/currency-format-in-euro
1,4,0,8270,showProj,https://stackoverflow.com/questions/40426965/javascript-function-to-format-as-money
1,4,0,9521,showProj,https://stackoverflow.com/questions/46235907/format-currency-in-javascript-removing-00
1,4,0,9896,showProj,https://stackoverflow.com/questions/68549027/currency-formatting-using-intl-numberformat-without-currency-symbol
1,4,0,24970,openPage,https://stackoverflow.com/questions/19664926/proper-js-currency-format-with-commas-and-decimals
1,3,0,1216,showProj,https://stackoverflow.com/questions/12462318/find-a-value-in-an-array-of-objects-in-javascript
1,3,0,1216,showProj,https://stackoverflow.com/questions/6116474/how-to-find-if-an-array-contains-a-specific-string-in-javascript-jquery
1,3,0,1216,showProj,https://stackoverflow.com/questions/52460473/find-object-with-specific-value-in-array
1,3,0,1216,showProj,https://stackoverflow.com/questions/13964155/get-javascript-object-from-array-of-objects-by-value-of-property
1,3,0,1216,showProj,https://stackoverflow.com/questions/7364150/find-object-by-id-in-an-array-of-javascript-objects
1,3,0,1216,showProj,https://stackoverflow.com/questions/52311150/find-all-matching-elements-with-in-an-array-of-objects
1,3,0,1216,showProj,https://stackoverflow.com/questions/237104/how-do-i-check-if-an-array-includes-a-value-in-javascript
1,3,0,1216,showProj,https://stackoverflow.com/questions/35206125/how-can-i-find-and-update-values-in-an-array-of-objects
1,3,0,1216,showProj,https://stackoverflow.com/questions/57607836/find-an-item-in-array-and-get-whats-left
1,3,0,1216,showProj,https://stackoverflow.com/questions/143847/best-way-to-find-if-an-item-is-in-a-javascript-array
1,3,0,2676,openPage,https://stackoverflow.com/questions/12462318/find-a-value-in-an-array-of-objects-in-javascript
1,3,0,123827,closePage,https://stackoverflow.com/questions/12462318/find-a-value-in-an-array-of-objects-in-javascript
1,3,0,127214,openPage,https://stackoverflow.com/questions/12462318/find-a-value-in-an-array-of-objects-in-javascript
