pid,tid,expandSeq,searchSeq,resultSeq,signature
1,2,0,1,0,T[].sort(function): this
2,4,0,0,1,formatMoney(number)
2,4,1,0,3,formatTime(string)
2,4,2,0,4,"Number.toLocaleString(Intl.LocalesArgument, Intl.NumberFormatOptions): string"
2,3,0,0,0,T[].filter(function): T[]
2,3,1,0,0,"search(string, object[])"
2,3,2,0,1,T[].indexOf(T): number
2,3,3,0,2,T[].some(function): boolean
2,3,4,0,2,T[].filter(function): T[]
2,3,5,0,2,T[].findIndex(function): number
2,5,0,0,0,endOf(string)
2,5,1,0,1,"subtract(number, string)"
3,5,0,0,0,"diff(unknown, string)"
3,5,1,0,0,diff(unknown)
3,5,2,0,0,diff(unknown)
3,5,3,0,0,"diff(unknown, string)"
3,5,4,0,0,moment(string)
3,5,5,0,1,"subtract(number, string)"
3,5,6,0,0,moment(string)
3,5,7,0,0,diff(unknown)
4,3,0,0,0,T[].filter(function): T[]
4,1,0,0,1,T[].slice(number): T[]
5,4,0,0,1,formatMoney(number)
5,6,0,0,0,static(string)
6,3,0,0,0,T[].filter(function): T[]
6,5,0,0,0,"subtract(number, string)"
7,2,0,0,0,T[].sort(function): this
7,1,0,0,0,JSON.parse(string)
7,6,0,0,0,"use(string, unknown)"
9,3,0,0,0,T[].filter(function): T[]
9,5,0,0,1,"subtract(number, string)"
10,3,0,0,0,T[].filter(function): T[]
10,1,0,0,0,JSON.parse(string)
10,1,0,1,0,JSON.parse(string)
10,1,1,1,1,clone()
10,1,2,1,2,map(function)
10,1,3,1,2,T[].forEach(function): void
10,5,0,0,0,moment(string)
10,5,1,0,1,"subtract(number, string)"
12,1,0,1,2,JSON.stringify(object): string
12,1,1,1,2,JSON.parse(string)
12,1,2,1,3,JSON.stringify(object): string
12,1,3,1,4,JSON.parse(string)
12,1,4,1,4,deepClone(object)
12,1,5,1,0,"T[].reduce(function, U): U"
13,2,0,0,0,T[].sort(function): this
13,4,0,0,1,formatMoney(number)
13,4,1,0,0,Number.toFixed(number): string
13,4,2,0,0,Intl.NumberFormat.format(number | bigint): string
13,6,0,0,0,"get(string, function)"
13,6,1,0,1,Router()
13,6,0,1,3,"get(string, function)"
13,6,0,3,0,Document.getElementById(string): HTMLElement
13,6,1,3,0,readTextFile(string): void
13,6,2,3,1,jQuery(string)
13,6,3,3,1,jQuery(string)
13,6,4,3,1,val(unknown)
13,6,5,3,1,read(File): Promise<void>
13,6,0,4,0,"load(string, function)"
13,6,1,4,2,listen(number)
13,6,2,4,3,"get(string, function)"
13,6,0,5,3,$(string)
13,6,1,5,3,serialize()
13,6,2,5,4,"use(string, unknown)"
13,6,3,5,4,"get(string, function)"
15,3,0,1,-1,filter(function)
15,1,0,0,-1,T[].map(function): U[]
15,1,1,0,-1,JSON.parse(string)
15,1,2,0,-1,JSON.stringify(unknown): string
15,5,0,0,-1,"subtract(number, string)"
15,5,1,0,-1,format(string)
15,5,2,0,-1,"subtract(number, string)"
15,5,3,0,-1,"subtract(number, string)"
16,2,0,0,0,T[].sort(function): this
16,1,0,0,0,JSON.parse(string)
16,6,0,1,0,static(unknown)
17,3,0,0,0,T[].filter(function): T[]
17,1,0,0,0,JSON.parse(string)
17,5,0,0,0,"diff(unknown, string)"
17,5,1,0,0,moment(string)
17,5,2,0,0,"diff(unknown, string)"
17,5,3,0,0,moment(string)
17,5,4,0,1,"subtract(number, string)"
17,5,5,0,1,moment()
17,5,6,0,1,"subtract(number, string)"
18,2,0,0,-1,T[].sort(function): this
18,1,0,0,-1,JSON.parse(string)
18,6,0,0,-1,static(unknown)
18,6,1,0,-1,static(string)
19,4,0,0,0,Number.toFixed(number): string
19,4,1,0,0,Intl.NumberFormat.format(number | bigint): string
19,4,2,0,2,"Number.toLocaleString(Intl.LocalesArgument, Intl.NumberFormatOptions): string"
19,3,0,0,0,T[].filter(function): T[]
19,5,0,0,0,"subtract(number, string)"
20,3,0,0,0,T[].find(function): T
20,1,0,0,0,T[].slice(): T[]
20,5,0,0,0,moment()
20,5,1,0,0,"subtract(string, number)"
21,3,0,0,0,T[].filter(function): T[]
21,1,0,0,0,JSON.stringify(unknown): string
23,2,0,0,0,T[].sort(function): this
23,6,0,0,0,"use(string, function)"
23,6,0,1,1,static(string)
24,5,0,0,1,format(string)
25,4,0,0,1,formatMoney(number)
25,5,0,1,2,"subtract(number, string)"
25,5,1,1,2,"sub(Date, object)"
25,5,2,1,1,Date.toLocaleString(): string
25,5,3,1,1,Document.getElementById(string): HTMLElement
25,5,4,1,1,Date.getHours(): number
25,5,0,3,0,subtract(object)
26,2,0,0,1,"function[].sortBy(object[], string, number): any[]"
26,2,1,0,0,sort(function)
26,2,2,0,0,T[].sort(function): this
26,2,3,0,2,sort(function)
26,1,0,1,0,JSON.stringify(number[][]): string
26,1,1,1,1,map(function)
26,6,0,0,0,static(string)
26,6,0,1,5,static(string)
26,6,0,2,8,"post(string, function)"
26,6,1,2,8,"post(string, function)"
26,6,2,2,0,static(string)
28,2,0,0,7,T[].sort(function): this
28,2,1,0,9,sort(function)
28,2,0,1,2,sort(function)
28,2,1,1,2,T[].sort(function): this
28,4,0,0,3,formatTime(string)
28,4,1,0,4,"Number.toLocaleString(Intl.LocalesArgument, Intl.NumberFormatOptions): string"
28,4,2,0,3,formatTime(string)
28,4,3,0,8,"format(string, string, number): string"
28,6,0,0,1,static(unknown)
