pid,tid,searchSeq,rank,text
1,2,0,0,T[].sort(function): this
1,2,0,1,sort(function)
1,2,0,2,ObjectConstructor.keys(object): string[]
1,2,0,3,"sortBy(unknown, string)"
1,2,0,4,T[].sort(): this
1,2,0,5,T[].reverse(): T[]
1,2,0,6,"object[].sortBy(string, string)"
1,2,0,7,T[].forEach(function): void
1,2,0,8,sort(typeof compare)
1,2,0,9,reverse()
1,2,1,0,"T[].reduce(function, U): U"
1,2,1,1,T[].sort(function): this
1,2,1,2,sort(function)
1,2,1,3,T[].sort(): this
1,2,1,4,T[].forEach(function): void
1,2,1,5,reverse()
1,2,1,6,function.(): void
1,2,1,7,T[].map(function): U[]
1,2,1,8,Document.write(string[]): void
1,2,1,9,"sortBy(unknown, string)"
1,4,0,0,Intl.NumberFormat.format(number | bigint): string
1,4,0,1,Number.toFixed(number): string
1,4,0,2,"String.replace(object, string): string"
1,4,0,3,"Number.toLocaleString(Intl.LocalesArgument, Intl.NumberFormatOptions): string"
1,4,0,4,toFixed(number)
1,4,0,5,"String.replace(string | RegExp, string): string"
1,4,0,6,"replace(regex, string)"
1,4,0,7,formatMoney(number)
1,4,0,8,format(string)
1,4,0,9,Number.toLocaleString(): string
1,6,0,0,static(unknown)
1,6,0,1,static(string)
1,6,0,2,use(unknown)
1,6,0,3,"use(string, unknown)"
1,6,0,4,"join(unknown, string)"
1,6,0,5,use(function)
1,6,0,6,"get(string, function)"
1,6,0,7,"use(string, function, unknown)"
1,6,0,8,"get(string, unknown)"
1,6,0,9,"use(string, function)"
1,6,1,0,static(string)
1,6,1,1,"use(string, unknown)"
1,6,1,2,use(unknown)
1,6,1,3,express()
1,6,1,4,"get(string, function)"
1,6,1,5,"join(unknown, string)"
1,6,1,6,static(unknown)
1,6,1,7,"listen(number, function)"
1,6,1,8,"use(string, function)"
1,6,1,9,listen(number)
2,4,0,0,Intl.NumberFormat.format(number | bigint): string
2,4,0,1,Number.toFixed(number): string
2,4,0,2,"String.replace(object, string): string"
2,4,0,3,"Number.toLocaleString(Intl.LocalesArgument, Intl.NumberFormatOptions): string"
2,4,0,4,toFixed(number)
2,4,0,5,"String.replace(string | RegExp, string): string"
2,4,0,6,"replace(regex, string)"
2,4,0,7,formatMoney(number)
2,4,0,8,format(string)
2,4,0,9,Number.toLocaleString(): string
2,3,0,0,"T[].reduce(function, U): U"
2,3,0,1,T[].filter(function): T[]
2,3,0,2,T[].find(function): T
2,3,0,3,T[].includes(T): boolean
2,3,0,4,filter(function)
2,3,0,5,T[].indexOf(T): number
2,3,0,6,T[].findIndex(function): number
2,3,0,7,T[].some(function): boolean
2,3,0,8,find(function)
2,3,0,9,T[].map(function): U[]
2,5,0,0,moment()
2,5,0,1,format(string)
2,5,0,2,"subtract(number, string)"
2,5,0,3,endOf(string)
2,5,0,4,moment(unknown)
2,5,0,5,Date.getDate(): number
2,5,0,6,startOf(string)
2,5,0,7,Date.setDate(number): number
2,5,0,8,"add(number, string)"
2,5,0,9,moment(string)
3,4,0,0,Intl.NumberFormat.format(number | bigint): string
3,4,0,1,Number.toFixed(number): string
3,4,0,2,"String.replace(object, string): string"
3,4,0,3,"Number.toLocaleString(Intl.LocalesArgument, Intl.NumberFormatOptions): string"
3,4,0,4,toFixed(number)
3,4,0,5,"String.replace(string | RegExp, string): string"
3,4,0,6,"replace(regex, string)"
3,4,0,7,formatMoney(number)
3,4,0,8,format(string)
3,4,0,9,Number.toLocaleString(): string
3,5,0,0,"subtract(number, string)"
3,5,0,1,format(string)
3,5,0,2,moment()
3,5,0,3,moment(number)
3,5,0,4,diff(unknown)
3,5,0,5,moment(string)
3,5,0,6,"add(number, string)"
3,5,0,7,subtract(object)
3,5,0,8,duration(unknown)
3,5,0,9,"tz(Date, string, string)"
4,3,0,0,"T[].reduce(function, U): U"
4,3,0,1,T[].filter(function): T[]
4,3,0,2,T[].find(function): T
4,3,0,3,T[].includes(T): boolean
4,3,0,4,filter(function)
4,3,0,5,T[].indexOf(T): number
4,3,0,6,T[].findIndex(function): number
4,3,0,7,T[].some(function): boolean
4,3,0,8,find(function)
4,3,0,9,T[].map(function): U[]
4,1,0,0,JSON.parse(string)
4,1,0,1,JSON.stringify(unknown): string
4,1,0,2,map(function)
4,1,0,3,T[].map(function): U[]
4,1,0,4,T[].slice(): T[]
4,1,0,5,JSON.stringify(function): string
4,1,0,6,slice()
4,1,0,7,slice(number)
4,1,0,8,T[].push(T[]): number
4,1,0,9,T[].forEach(function): void
4,5,0,0,"subtract(number, string)"
4,5,0,1,format(string)
4,5,0,2,moment()
4,5,0,3,"add(number, string)"
4,5,0,4,diff(unknown)
4,5,0,5,moment(number)
4,5,0,6,"tz(Date, string, string)"
4,5,0,7,local()
4,5,0,8,"subtract(string, number)"
4,5,0,9,duration(unknown)
4,5,1,0,format(string)
4,5,1,1,diff(unknown)
4,5,1,2,moment()
4,5,1,3,duration(unknown)
4,5,1,4,"subtract(number, string)"
4,5,1,5,moment(string)
4,5,1,6,"diff(unknown, string)"
4,5,1,7,asHours()
4,5,1,8,"moment(string, string)"
4,5,1,9,moment(number)
5,2,0,0,T[].sort(function): this
5,2,0,1,sort(function)
5,2,0,2,ObjectConstructor.keys(object): string[]
5,2,0,3,"sortBy(unknown, string)"
5,2,0,4,T[].sort(): this
5,2,0,5,T[].reverse(): T[]
5,2,0,6,"object[].sortBy(string, string)"
5,2,0,7,T[].forEach(function): void
5,2,0,8,sort(typeof compare)
5,2,0,9,reverse()
5,4,0,0,Intl.NumberFormat.format(number | bigint): string
5,4,0,1,Number.toFixed(number): string
5,4,0,2,"String.replace(object, string): string"
5,4,0,3,"Number.toLocaleString(Intl.LocalesArgument, Intl.NumberFormatOptions): string"
5,4,0,4,toFixed(number)
5,4,0,5,"String.replace(string | RegExp, string): string"
5,4,0,6,"replace(regex, string)"
5,4,0,7,formatMoney(number)
5,4,0,8,format(string)
5,4,0,9,Number.toLocaleString(): string
5,6,0,0,"T[].reduce(function, U): U"
5,6,0,1,static(unknown)
5,6,0,2,"use(string, unknown)"
5,6,0,3,"join(unknown, string)"
5,6,0,4,use(unknown)
5,6,0,5,"get(string, function)"
5,6,0,6,static(string)
5,6,0,7,"get(string, unknown)"
5,6,0,8,"use(string, function)"
5,6,0,9,listen(number)
6,4,0,0,Intl.NumberFormat.format(number | bigint): string
6,4,0,1,Number.toFixed(number): string
6,4,0,2,"String.replace(object, string): string"
6,4,0,3,"Number.toLocaleString(Intl.LocalesArgument, Intl.NumberFormatOptions): string"
6,4,0,4,toFixed(number)
6,4,0,5,"String.replace(string | RegExp, string): string"
6,4,0,6,"replace(regex, string)"
6,4,0,7,formatMoney(number)
