pid,tid,search,result,loadSeq,time
12830,find,0,0,0,1216
12830,find,0,1,1,1216
12830,find,0,2,2,1216
12830,find,0,3,3,1216
12830,find,0,4,4,1216
12830,find,0,5,5,1216
12830,find,0,6,6,1216
12830,find,0,7,7,1216
12830,find,0,8,8,1216
12830,find,0,9,9,1216
12830,clone,0,0,0,1212
12830,clone,0,1,1,1212
12830,clone,0,2,2,1212
12830,clone,0,3,3,1212
12830,clone,0,4,4,1212
12830,clone,0,5,5,1212
12830,clone,0,6,6,1212
12830,clone,0,7,7,1212
12830,clone,0,8,8,1212
12830,clone,0,9,9,1212
12830,recent,0,0,0,3335
12830,recent,0,1,1,3335
12830,recent,0,2,2,3335
12830,recent,0,3,3,3335
12830,recent,0,4,4,3335
12830,recent,0,5,5,3335
12830,recent,0,6,6,3335
12830,recent,0,7,7,3335
12830,recent,0,8,8,3335
12830,recent,0,9,9,3335
12830,currency,0,0,0,5341
12830,currency,0,1,1,5790
12830,currency,0,2,2,6244
12830,currency,0,3,3,6913
12830,currency,0,4,4,7511
12830,currency,0,5,5,7875
12830,currency,0,6,6,8270
12830,currency,0,7,7,9521
12830,currency,0,8,8,9896
12830,serve,0,0,0,1790
12830,serve,0,1,1,2090
12830,serve,0,2,2,2608
12830,serve,0,3,3,3038
12830,serve,0,4,4,3652
12830,serve,0,5,5,3841
12830,serve,0,6,6,4273
12830,serve,0,7,7,4864
12830,serve,0,8,8,5479
12830,serve,0,9,9,5852
12830,serve,1,0,0,7343
12830,serve,1,1,1,7969
12830,serve,1,2,2,8606
12830,serve,1,3,3,8974
12830,serve,1,4,4,9239
12830,serve,1,5,5,9686
12830,serve,1,6,6,10029
12830,serve,1,7,7,11245
12830,serve,1,8,8,12173
12830,serve,1,9,9,14165
14987,sort,0,0,0,1225
14987,sort,0,1,1,1225
14987,sort,0,2,2,1225
14987,sort,0,3,3,1225
14987,sort,0,4,4,1225
14987,sort,0,5,5,1225
14987,sort,0,6,6,1225
14987,sort,0,7,7,1225
14987,sort,0,8,8,1225
14987,sort,0,9,9,1225
14987,currency,0,2,0,1521
14987,currency,0,1,1,1565
14987,currency,0,3,2,2366
14987,currency,0,5,3,2441
14987,currency,0,6,4,2493
14987,currency,0,4,5,3077
14987,currency,0,8,6,5454
14987,currency,0,7,7,6472
14987,currency,0,0,8,8703
14987,find,0,2,0,4017
14987,find,0,1,1,4519
14987,find,0,5,2,5887
14987,find,0,3,3,7721
14987,find,0,0,4,9369
14987,find,0,8,5,9598
14987,find,0,7,6,10465
14987,find,0,9,7,12140
14987,find,0,4,8,12333
14987,find,0,6,9,12551
14987,clone,0,0,0,1220
14987,clone,0,1,1,1220
14987,clone,0,2,2,1220
14987,clone,0,3,3,1220
14987,clone,0,4,4,1220
14987,clone,0,5,5,1220
14987,clone,0,6,6,1220
14987,clone,0,7,7,1220
14987,clone,0,8,8,1220
14987,clone,0,9,9,1220
14987,serve,0,0,0,3968
14987,serve,0,1,1,3968
14987,serve,0,2,2,3968
14987,serve,0,3,3,3968
14987,serve,0,4,4,3968
14987,serve,0,5,5,3968
14987,serve,0,6,6,3968
14987,serve,0,7,7,3968
14987,serve,0,8,8,3968
14987,serve,0,9,9,3968
14987,serve,1,0,0,1266
14987,serve,1,1,1,1266
14987,serve,1,2,2,1266
14987,serve,1,3,3,1266
14987,serve,1,4,4,1266
14987,serve,1,5,5,1266
14987,serve,1,6,6,1266
14987,serve,1,7,7,1267
14987,serve,1,8,8,1267
14987,serve,1,9,9,1267
14987,serve,2,0,0,3428
14987,serve,2,1,1,3429
14987,serve,2,2,2,3429
14987,serve,2,3,3,3429
14987,serve,2,4,4,3429
14987,serve,2,5,5,3429
14987,serve,2,6,6,3429
14987,serve,2,7,7,3429
14987,serve,2,8,8,3429
14987,serve,2,9,9,3429
17135,sort,0,0,0,1213
17135,sort,0,1,1,1213
17135,sort,0,2,2,1213
17135,sort,0,3,3,1213
17135,sort,0,4,4,1213
17135,sort,0,5,5,1213
17135,sort,0,6,6,1213
17135,sort,0,7,7,1213
17135,sort,0,8,8,1213
17135,sort,0,9,9,1213
17135,clone,0,0,0,1212
17135,clone,0,1,1,1212
17135,clone,0,2,2,1212
17135,clone,0,3,3,1212
17135,clone,0,4,4,1212
17135,clone,0,5,5,1212
17135,clone,0,6,6,1212
17135,clone,0,7,7,1212
