pid,tid,seq,timeBetween,context,keywords,query
1,sort,0,,javascript,sort|array|of|objects|descending,javascript sort array of objects descending
1,sort,1,,javascript,sort|by|highest|to|lowest,javascript sort by highest to lowest
1,currency,0,,javascript,format|currency,javascript format currency
1,find,0,,javascript,find|item|in|array|by|value,javascript find item in array by value
1,clone,0,,javascript,clone|array,javascript clone array
1,recent,0,,moment|javascript,subtract|days|from|moment,subtract days from moment
1,serve,0,,express|path|javascript,add|/static|route|to|express,javascript express path add /static route to
1,serve,1,,express|path|javascript,add|/static|route|to|express|web|server,javascript express path add /static route to web server
2,sort,0,,javascript,sort|array|of|objects|descending,javascript sort array of objects descending
2,currency,0,,javascript,format|currency,javascript format currency
2,find,0,,javascript,find|item|in|array|by|value,javascript find item in array by value
2,clone,0,,javascript,clone|array,javascript clone array
2,recent,0,,moment|javascript,startDate|so|that|it|subtracts|the|specified|number|of|days/months/years|from|the|endDate,javascript moment startDate so that it subtracts the specified number of days/months/years from endDate
2,serve,0,,express|path|javascript,add|static|route,add static route
2,serve,1,25157,express|path|static|javascript,add|static|route|using|path,add static route using path
3,sort,0,,javascript,sort|array|of|objects|descending,javascript sort array of objects descending
3,currency,0,,javascript,format|currency,javascript format currency
3,clone,0,,javascript,clone|array,javascript clone array
3,recent,0,,moment|javascript,subtract|dates,javascript moment subtract dates
3,serve,0,,express|path|javascript,ad,ad
3,serve,1,,express|path|javascript,add|static|to|express,add static to express
4,sort,0,,javascript,sort|array|of|objects|descending,javascript sort array of objects descending
4,currency,0,,javascript,format|currency,javascript format currency
4,find,0,,javascript,find|item|in|array|by|value,javascript find item in array by value
4,clone,0,,javascript,clone|array,javascript clone array
4,recent,0,,moment|javascript,ssubtract|date,javascript moment ssubtract date
4,recent,1,,moment|javascript,subtract|date|given|interval|and|value,javascript moment subtract date given interval and value
4,recent,2,249770,moment|javascript,(,javascript moment (
4,serve,0,,javascript,add|/static|route|which|serves|files,add /static route which serves files
4,serve,1,,javascript,add|/static|route|to|setup|javascript,add /static route to setup javascript
4,serve,2,138605,express|path|javascript,static|route|javascript,static route javascript
5,sort,0,,javascript,sort|array|of|objects|descending,javascript sort array of objects descending
5,currency,0,,javascript,format|currency,javascript format currency
5,find,0,,javascript,find|item|in|array|by|value,javascript find item in array by value
5,clone,0,,javascript,clone|array,javascript clone array
5,recent,0,,moment|javascript,subtract|time|from|date,subtract time from date
5,recent,1,12156,moment|javascript,momentjs|dubtract|days|months|years,momentjs dubtract days months years
5,serve,0,,express|path|javascript,add|a|route|to|serve|files,javascript express path add a route to serve files
6,sort,0,,javascript,sort|array|of|objects|descending,javascript sort array of objects descending
6,currency,0,,javascript,format|currency,javascript format currency
6,find,0,,javascript,find|item|in|array|by|value,javascript find item in array by value
6,clone,0,,javascript,clone|array,javascript clone array
6,recent,0,,moment|javascript,moment|subtract|days,javascript moment subtract days
6,serve,0,,javascript,expressjs|static|route,expressjs static route
7,sort,0,,javascript,sort|array|of|objects|descending,javascript sort array of objects descending
7,currency,0,,javascript,format|currency,javascript format currency
7,find,0,,javascript,find|item|in|array|by|value,javascript find item in array by value
7,clone,0,,javascript,clone|array,javascript clone array
7,recent,0,,javascript,update|date|by|interval|unit|javascript|moment.js,update date by interval unit javascript moment.js
7,recent,1,,javascript,subtract|date|by|interval|unit|javascript|moment.js,subtract date by interval unit javascript moment.js
7,serve,0,,express|path|javascript,serve|static|file,javascript express path serve static file
8,sort,0,,javascript,sort|array|of|objects|descending,javascript sort array of objects descending
8,sort,1,,javascript,javascript|sort|array|big|to|small,javascript sort array big to small
8,currency,0,,javascript,format|currency,javascript format currency
8,find,0,,javascript,find|item|in|array|by|value,javascript find item in array by value
8,clone,0,,javascript,clone|array,javascript clone array
8,recent,0,,moment|javascript,javascript|moment,javascript moment
8,recent,1,,moment|javascript,create|a|moment|one|month|in|the|future,javascript moment create a one month in the future
8,serve,0,,express|path|javascript,express|add|a|static|file|server,express add a static file server
8,serve,1,6354,express|path|static|javascript,express|serve|pdf|file,express serve pdf file
9,sort,0,,javascript,sort|array|of|objects|descending,javascript sort array of objects descending
9,currency,0,,javascript,format|currency,javascript format currency
9,find,0,,javascript,find|item|in|array|by|value,javascript find item in array by value
9,clone,0,,javascript,clone|array,javascript clone array
9,recent,0,,moment|javascript,java|subtract|duration|from|date,javascript moment java subtract duration from date
9,serve,0,,javascript,javascript|serve|static|file,javascript serve static file
10,sort,0,,javascript,sort|array|of|objects|descending,javascript sort array of objects descending
10,currency,0,,javascript,format|currency,javascript format currency
10,currency,1,,javascript,format|currency|locale,format currency locale
10,find,0,,javascript,find|item|in|array|by|value,javascript find item in array by value
10,clone,0,,javascript,clone|array,javascript clone array
10,clone,1,,,clone|array,clone array
10,recent,0,,moment|javascript,subtract|date,javascript moment subtract date
10,serve,0,,express|path|javascript,javascript|static|pdf|server,javascript static pdf server
10,serve,1,,express|path|javascript,javascript|static|pdf|server|serve.js,javascript static pdf server serve.js
10,serve,2,18178,javascript,javascript|add|/static|route|to|serve,javascript add /static route to serve
11,sort,0,,javascript,sort|array|of|objects|descending,javascript sort array of objects descending
11,clone,0,,javascript,clone|array,javascript clone array
11,recent,0,,moment|javascript,momentjs|define|date|by|units,momentjs define date by units
11,serve,0,,express|path|javascript,add|static|route|express,javascript express path add static route
