pid|tid|seq|tts|pages|cxt_used|cxt_avail|cxt|terms|query
12830|clone|1|null|1|1|1|"javascript"|"clone;array"|"_javascript clone array"
12830|recent|1|null|1|1|2|""|"subtract;days;from;moment"|"subtract days from _moment"
14987|sort|1|null|2|1|1|"javascript"|"sort;array;of;objects;descending"|"_javascript sort array of objects descending"
14987|serve|1|null|2|0|3|""|"add;static;route"|"add static route"
14987|serve|2|94750|0|1|4|""|"add;static;route"|"add _static route"
14987|serve|3|25157|2|2|4|""|"add;static;route;using;path"|"add _static route using _path"
17380|sort|1|null|1|1|1|"javascript"|"sort;array;of;objects;descending"|"_javascript sort array of objects descending"
17380|serve|1|null|2|0|1|""|"add;/static;route;which;serves;files"|"add /static route which serves files"
17380|serve|2|96580|2|1|1|""|"add;/static;route;to;setup;javascript"|"add /static route to setup _javascript"
17380|serve|3|138605|1|1|3|""|"static;route;javascript"|"static route _javascript"
17380|serve|4|113528|0|2|5|""|"static;route;javascript"|"_static route _javascript"
20014|recent|1|null|1|0|2|""|"subtract;time;from;date"|"subtract time from date"
20014|recent|2|12156|1|0|2|""|"momentjs;dubtract;days;months;years"|"momentjs dubtract days months years"
20964|clone|1|null|1|1|1|"javascript"|"clone;array"|"_javascript clone array"
20964|serve|1|null|1|0|1|""|"expressjs;static;route"|"expressjs static route"
20998|currency|1|null|1|1|1|"javascript"|"format;currency"|"_javascript format currency"
20998|find|1|null|1|1|1|"javascript"|"find;item;in;array;by;value"|"_javascript find item in array by value"
20998|recent|1|null|0|1|1|""|"update;date;by;interval;unit;javascript;moment.js"|"update date by interval unit _javascript moment.js"
20998|recent|2|18769|1|1|1|""|"subtract;date;by;interval;unit;javascript;moment.js"|"subtract date by interval unit _javascript moment.js"
21752|serve|1|null|1|1|3|""|"express;add;a;static;file;server"|"_express add a static file server"
21752|serve|2|117810|0|2|4|""|"express;add;a;static;file;server"|"_express add a _static file server"
21752|serve|3|6354|1|1|4|""|"express;serve;pdf;file"|"_express serve pdf file"
30065|clone|1|null|1|1|1|"javascript"|"clone;array"|"_javascript clone array"
30065|recent|1|null|1|0|2|""|"momentjs;define;date;by;units"|"momentjs define date by units"
31472|find|1|null|1|1|1|"javascript"|"find;item;in;array;by;value"|"_javascript find item in array by value"
31472|serve|1|null|1|3|3|"javascript;express;path"|"express;add;static;route;javascript"|"_javascript _express _path add static route"
32919|find|1|null|0|1|1|"javascript"|"find;item;in;array;by;value"|"_javascript find item in array by value"
39681|currency|1|null|1|1|1|"javascript"|"format;currency"|"_javascript format currency"
39681|currency|2|67855|2|0|1|""|"format;currency"|"format currency"
39681|find|1|null|1|1|1|"javascript"|"find;item;in;array;by;value"|"_javascript find item in array by value"
46094|sort|1|null|1|1|1|"javascript"|"sort;array;of;objects;descending"|"_javascript sort array of objects descending"
46094|currency|1|null|2|1|1|"javascript"|"format;currency"|"_javascript format currency"
46094|recent|1|null|1|0|2|""|"subtract;amount;of;time;by;the;interval;from;date"|"subtract amount of time by the interval from date"
46094|serve|1|null|0|3|3|"javascript;express;path"|"add;static;route"|"_javascript _express _path add static route"
48128|sort|1|null|1|1|1|"javascript"|"sort;array;of;objects;descending"|"_javascript sort array of objects descending"
