pid|tid|treated|succeeded|duration|searches|expands|examples|copies|pages|links|answers|content|q1|q2|q3|q4
12830|recent|false|true|162347|1|0|0|0|1|0|1|0.16|5|The first search term I used gave me a great suggestion as the top result and it was easy to implement.|Nope.|
20964|clone|false|true|28942|1|0|0|0|1|0|1|0.01|4|It didn't show me the quick usages. No signatures available: using Google results. ||
21752|find|true|true|154109|1|0|0|0|1|0|2|0.17|5|Could you possibly sort the results by a function of date/relevancy?||I opened the Mozilla developer page for array.prototype.find to see the current return value (stackoverflow can sometimes be outdated).
29016|recent|true|true|235100|1|2|0|0|0|0|0|null|4|the second search result had the answer with a code snippet ready to copy||
29016|serve|false|false|424834|3|0|0|0|4|0|6|0.39|2|because of unknown several terms needed for this task, the search was not as helpful|links to explanations for specific terms|
42904|sort|false|true|166033|1|0|0|0|1|0|2|0.06|5|The solution was pretty easy to find with the results||
46094|currency|false|false|421843|1|0|0|0|2|0|1|null|2|The solution given above didn't match with the answers provided in Scout||When I clicked on the link to view the answers it didn't open, gave an error "For security reasons, framing is not allowed."
48128|sort|false|true|145146|1|0|0|0|1|0|2|0.03|5|This very first task, and by using the "Scout" hyperlink you provided (with an automatic search that said "sort array of objects descending"), the tool returned a Google Search filtered by StackOverflow links only, which is very good to have besides in VS, I find it really useful. The "Code" and "Usage" feature didn't show up this time, but I can see how powerful it still is and will be. Scout will become a must-have.|I found the solution in less than 10 seconds, I think it was still very straight forward. I can see it frustrate some people who might not find very complex solutions (questions with too many layers of problems in them, not just one), but, regarding code snippets and quick solutions it's great.|I did not.
56883|currency|false|false|468541|1|0|0|0|0|0|0|null||||
61514|sort|false|false|367670|1|0|0|0|5|0|18|0.08|4|I was looking in the right place for information using StackOverflow via Scout, however I was just mistaken on how to use the answer I found. Had I had an extra minute, I would have wrote the above answer.|No additional Information|I did not.
65727|sort|false|true|147171|1|0|0|0|1|0|2|0.05|5|Finding the solution using Scout was easy.|I have no further comments.|I did not search outside the IDE.
65727|clone|false|true|126749|2|0|0|0|3|0|12|0.49|5|Scout was helpful.|No.|I did not search outside the IDE.
73430|find|true|true|156080|1|1|0|1|0|0|0|null|4|||
73430|clone|false|true|52725|1|0|0|0|1|0|1|null|5|||
76613|recent|true|true|141230|1|2|0|0|0|0|0|null|4|This one was pretty easy to figure out, although I feel that the moment() call that was already given helped||
