pid,tid,seq,treatment,outcome,duration,solution,q1,q2,q3,q4
1,2,2,sig,fail,367917,"return trades.sort((a, b) => a - b);",5,"I got the exact documentation I needed, I just didn't add the '.shareCount' to my variables, otherwise I would've had the correct answer in 30 seconds.",Nope.,
1,4,1,sig,fail,366202,"let cur = new Intl.NumberFormat(locale, {
style: 'currency',
currency: currency,
// These options are needed to round to whole numbers if that's what you want.
//minimumFractionDigits: 0, // (this suffices for whole numbers, but will print 2500.10 as $2,500.1)
//maximumFractionDigits: 0, // (causes 2500.99 to be printed as $2,501)
});
return cur;",5,"It was good, I found the exact answer I needed, just wasnt able to format it correctly in time.",Nope.,I didn't. 
1,3,4,txt,fail,416869,return array.find(trades => trades.id === id) || [],4,I think I was really on the right track just in a time crunch. The result was right there I just didn't have the right implementation.,No.,
1,1,3,txt,pass,57425,return trades.slice(0);,5,"This was super easy, I found the correct answer almost immediately and it was very easy to implement.",No.,
1,5,5,txt,pass,162347,"const startDate = moment(endDate).subtract(interval, unit)",5,The first search term I used gave me a great suggestion as the top result and it was easy to implement.,Nope.,
1,6,6,sig,fail,424257,"app.use('src/public', express.static(__dirname + '/static'))",5,"I'm pretty sure I was on the right track, just missed out on the path.join part. There was a lot of documentation and my attempt fell short with the time limit.",No.,
2,2,1,txt,fail,361356,"const x = trades.sort(function(a, b) {
return parseFloat(a.shareCount) - parseFloat(b.shareCount);
}",5,It took some time to find the scout binoculars icon as it was invisible,,
2,4,4,sig,pass,310062,"return amount.toLocaleString(locale, { style: 'currency', currency: currency });",5,Scout was really helpful,,
2,3,3,sig,fail,372991,"let obj = arr.find(o => o.id === trades.id);
return obj;",5,Scout really makes it easy to search for solutions and really is accurate,,
2,1,2,txt,fail,370447,"for(var i = 0, len = trades.length; i < len; ++i)
dup_array[i] = trades[i];
return dup_array;",5,none,,
2,5,5,sig,fail,484515,const startDate = moment(endDate).,5,It was difficult searching for similar problems and couldn't get the most accurate result to complete this task,,
2,6,6,txt,fail,429357,app.use(express.static(__dirname + '/public'));,5,It was very helpful to find the solution and I almost got the solution but  lacked time to complete it ,,
3,2,1,txt,pass,383060,"return trades.sort((a, b) => (a.shareCount > b.shareCount) ? -1 : 1);",4,It's good ,,
3,4,4,sig,fail,365137,"string = amount + "" "" + locale + "" "" + currency",1,,,
3,3,3,sig,pass,266065,"var id_check = undefined;
if (trades.length != 0) {
for (let i = 0; i < trades.length; i++) {
if (id == trades[i].id) {
id_check = trades[i];
}
}
}
return id_check;",3,,,
3,1,2,txt,pass,164404,"var trades1 = trades.slice();
return trades1;",5,,,
3,5,5,sig,fail,425261,"startDate = startDate.diff(interval, unit)",2,,,
3,6,6,txt,fail,457008,"app.get('/src/public', express.static(process.cwd() + '/static'));",1,Maybe add a feature where if you use a mouse with buttons and use the back page button it doesnt leave the original page but the Scout itself,,
