pid,tid,onTask,inApp,inPage,toLoadFirst,toLoadLast,toOpen
1,2,367917,319300,45464,5444,16360,23383
1,4,366202,30844,11215,5341,9896,19629
1,3,416869,380159,374119,1216,1216,1460
1,1,57425,21810,6836,1212,1212,13792
1,5,162347,11171,7332,3335,3335,2653
1,6,424257,321059,305419,1790,14165,6391
2,2,361356,77476,63391,1225,1225,12126
2,4,310062,370684,44807,1521,8703,1668
2,3,372991,424108,213337,4017,12551,1510
2,1,370447,414430,340035,1220,1220,758
2,5,484515,223433,0,3721,14393,7056
2,6,429357,338784,318575,3968,3429,3190
3,2,383060,649321,614862,1213,1213,32259
3,4,365137,10503,9354,5730,10649,NaN
3,3,266065,0,0,0,0,0
3,1,164404,15327,7032,1212,1212,7112
3,5,425261,402321,0,2749,10299,9183
3,6,457008,11440,8360,6876,1735,17145
4,2,117474,185777,100508,1217,1217,7938
4,4,124513,294844,85371,1210,1210,26390
4,3,125976,289468,107179,2013,11689,26150
4,1,253495,160514,0,1491,9403,17520
4,5,541645,225565,74318,2485,12028,5328
4,6,426443,536206,286742,4555,2811,14733
5,2,1642703,6941,3447,3769,10527,3311
5,4,366432,386647,0,6202,10850,12634
5,3,91986,135677,130641,1211,1211,3859
5,1,91471,53238,38924,1226,1226,13155
5,5,245828,137428,126070,2944,3928,4810
5,6,180096,113519,87193,3887,5914,4162
6,2,114795,134781,132888,1251,1252,863
6,4,56449,10528,8774,5819,10589,NaN
6,3,50967,84681,4341,4659,18809,1759
6,1,28942,9889,7263,1290,1291,1536
6,5,67906,18239,3729,11544,22023,NaN
6,6,87983,10615,9134,1849,1850,325
7,2,289693,244150,152545,6203,17796,17465
7,4,316591,408043,233776,1242,1243,26206
7,3,188796,218175,114513,1215,1216,5247
7,1,221649,323256,21799,4179,15144,2638
7,5,443524,175713,160308,3939,5720,23485
7,6,446467,330449,0,3853,7994,2491
8,2,351289,234724,231784,1222,2631,23458
8,4,224932,39222,24330,5594,10492,3341
8,3,154109,24797,16620,4318,18807,8177
8,1,145452,98228,88646,1214,1214,5074
8,5,512904,285114,281991,3960,13202,991
8,6,255634,134276,129013,2641,3060,311
9,2,84460,24086,11606,1206,1206,11290
9,4,160448,87785,64065,1207,1208,22529
9,3,60603,25655,0,2047,11832,9224
9,1,98040,10153,0,1915,10173,0
9,5,487602,82962,0,3358,11319,5068
9,6,355546,100320,87297,2632,2882,2810
10,2,118340,72503,66619,1219,1221,2741
10,4,183378,110217,77554,1218,1319,7819
10,3,66007,109659,0,3609,19818,2463
10,1,211228,133180,53226,3995,24578,8272
10,5,235100,28225,0,3267,10811,5452
10,6,424834,317419,293630,3594,6691,9463
11,2,163599,84284,69239,8478,20724,6702
11,4,452849,0,0,0,0,0
11,3,68438,0,0,0,0,0
11,1,100199,22735,17460,1228,1229,4107
11,5,484757,109568,102388,3235,3235,6008
11,6,445436,365946,356599,6572,10311,9290
12,2,245207,251902,216988,6086,17540,28872
12,4,246319,273372,228030,1209,1210,3434
12,3,255193,212837,204105,1209,1210,8732
12,1,296472,480331,266922,4213,18481,151886
12,5,460180,387701,378508,3599,2916,874
12,6,135508,35516,26650,3334,6957,7964
13,2,239598,285505,0,5459,17131,44797
13,4,139353,397883,0,5446,10252,70564
13,3,69390,69117,45895,1217,1217,18934
13,1,1146522,518438,508363,1213,1214,6656
13,5,324214,156225,128721,2760,4051,655
13,6,571036,545926,16674,3279,6662,3679
14,2,79344,32233,29985,6017,18096,NaN
14,4,216013,127484,105163,1206,5030,581
14,3,179162,192106,0,1205,1205,0
14,1,70513,15641,14392,4275,16004,NaN
14,5,424843,253419,13183,4721,1447,1905
14,6,203800,63232,60691,2883,9027,1559
15,2,192194,92723,69751,1247,1247,21817
15,4,242666,203413,195819,1218,1221,10869
15,3,109882,69431,0,6907,17322,14381
15,1,184607,231609,0,4274,15771,27762
15,5,182028,208435,2238,5218,13578,13651
15,6,426589,139671,71667,3031,1235,2576
16,2,224354,155490,0,7223,26024,8664
16,4,369239,307251,268556,1207,1212,10916
16,3,272285,119013,4720,1207,1207,6665
16,1,79526,18233,0,4955,19015,3848
16,5,490343,230383,214881,4270,3268,475
16,6,442926,437771,0,2504,15820,23348
17,2,166033,139477,114644,1231,1232,23735
